data_status,simulation_scenario,predictor,exposure_definition,outcome,outcome_definition,n,events_total,event_rate,exposed_total,exposure_prevalence,events_exposed,non_events_exposed,events_unexposed,non_events_unexposed,crude_or,crude_ci_low,crude_ci_high,adjusted_or,adjusted_ci_low,adjusted_ci_high,p_value,adjustment_set,q_value_global_132_tests,q_value_within_outcome_22_tests,fdr_significant_global_0_05
SYNTHETIC_SIMULATION_RESULT_NOT_EMPIRICAL_EVIDENCE,NULL_ANATOMY_EFFECT_PIPELINE_TEST,F5,F5 >= 2 vs F5 = 1,ohip_meaningful_improvement,Anchor-alapu szamottevo OHIP-5 javulas,1000,496,0.496,374,0.374,175,199,321,305,0.8355641134019005,0.6464875254944167,1.0799394575651926,0.8547158226652374,0.6495840613449007,1.124626019920814,0.2622200451187524,age_per_10y + gender + denture_type + baseline_outcome,0.966867414495252,0.7689845116414094,0
SYNTHETIC_SIMULATION_RESULT_NOT_EMPIRICAL_EVIDENCE,NULL_ANATOMY_EFFECT_PIPELINE_TEST,F7,F7 >= 2 vs F7 = 1,ohip_meaningful_improvement,Anchor-alapu szamottevo OHIP-5 javulas,1000,496,0.496,345,0.345,169,176,327,328,0.9631637475674173,0.7420519221221754,1.2501610426060894,1.008355643777159,0.7625244808366033,1.3334406040599354,0.9534604248691074,age_per_10y + gender + denture_type + baseline_outcome,0.9832183897815071,0.9971355368331474,0
SYNTHETIC_SIMULATION_RESULT_NOT_EMPIRICAL_EVIDENCE,NULL_ANATOMY_EFFECT_PIPELINE_TEST,F8,F8 >= 2 vs F8 = 1,ohip_meaningful_improvement,Anchor-alapu szamottevo OHIP-5 javulas,1000,496,0.496,482,0.482,236,246,260,258,0.9519699812382739,0.7427960894244939,1.2200479486650833,0.9258315455469012,0.7096378742536849,1.2078893782708962,0.5700651975448312,age_per_10y + gender + denture_type + baseline_outcome,0.966867414495252,0.9937248426756757,0
SYNTHETIC_SIMULATION_RESULT_NOT_EMPIRICAL_EVIDENCE,NULL_ANATOMY_EFFECT_PIPELINE_TEST,A1_Kaan,A1_Kaan >= 2 vs A1_Kaan = 1,ohip_meaningful_improvement,Anchor-alapu szamottevo OHIP-5 javulas,1000,496,0.496,437,0.437,223,214,273,290,1.1069460134880695,0.8620955962558045,1.4213382855670507,1.1312637784955595,0.8650333183737292,1.4794317274876843,0.3676393941222902,age_per_10y + gender + denture_type + baseline_outcome,0.966867414495252,0.8088066670690385,0
SYNTHETIC_SIMULATION_RESULT_NOT_EMPIRICAL_EVIDENCE,NULL_ANATOMY_EFFECT_PIPELINE_TEST,A3_jobb,"A3_jobb in {2,3} vs 1",ohip_meaningful_improvement,Anchor-alapu szamottevo OHIP-5 javulas,1000,496,0.496,398,0.398,188,210,308,294,0.8545454545454545,0.6631895062371684,1.1011150312489228,0.8541301734411304,0.6511208657704409,1.1204346098160238,0.2548269059519038,age_per_10y + gender + denture_type + baseline_outcome,0.966867414495252,0.7689845116414094,0
SYNTHETIC_SIMULATION_RESULT_NOT_EMPIRICAL_EVIDENCE,NULL_ANATOMY_EFFECT_PIPELINE_TEST,A3_bal,"A3_bal in {2,3} vs 1",ohip_meaningful_improvement,Anchor-alapu szamottevo OHIP-5 javulas,1000,496,0.496,376,0.376,186,190,310,314,0.991578947368421,0.7676778155207191,1.2807831475465232,0.9370666364591629,0.712160721773416,1.2329995944992131,0.642506190420002,age_per_10y + gender + denture_type + baseline_outcome,0.966867414495252,0.9937248426756757,0
SYNTHETIC_SIMULATION_RESULT_NOT_EMPIRICAL_EVIDENCE,NULL_ANATOMY_EFFECT_PIPELINE_TEST,A4_jobb,"A4_jobb in {2,3} vs 1",ohip_meaningful_improvement,Anchor-alapu szamottevo OHIP-5 javulas,1000,496,0.496,270,0.27,147,123,349,381,1.304703333566287,0.9859745541566726,1.7264652332482937,1.2996658654987565,0.9628317629618053,1.7543369744540078,0.08680551956455429,age_per_10y + gender + denture_type + baseline_outcome,0.966867414495252,0.7689845116414094,0
SYNTHETIC_SIMULATION_RESULT_NOT_EMPIRICAL_EVIDENCE,NULL_ANATOMY_EFFECT_PIPELINE_TEST,A4_bal,"A4_bal in {2,3} vs 1",ohip_meaningful_improvement,Anchor-alapu szamottevo OHIP-5 javulas,1000,496,0.496,275,0.275,130,145,366,359,0.8794045600150744,0.6660211057806034,1.1611529626661106,0.8556242823269857,0.6344734634244044,1.1538589944428717,0.30679579834294646,age_per_10y + gender + denture_type + baseline_outcome,0.966867414495252,0.7689845116414094,0
SYNTHETIC_SIMULATION_RESULT_NOT_EMPIRICAL_EVIDENCE,NULL_ANATOMY_EFFECT_PIPELINE_TEST,A5_jobb,"A5_jobb in {1,3} vs 2",ohip_meaningful_improvement,Anchor-alapu szamottevo OHIP-5 javulas,1000,496,0.496,442,0.442,220,222,276,282,1.0125342734038387,0.788865808064786,1.2996198394407308,1.0502075943577303,0.8034083797085525,1.3728211194993463,0.7200265517234206,age_per_10y + gender + denture_type + baseline_outcome,0.966867414495252,0.9937248426756757,0
SYNTHETIC_SIMULATION_RESULT_NOT_EMPIRICAL_EVIDENCE,NULL_ANATOMY_EFFECT_PIPELINE_TEST,A5_bal,"A5_bal in {1,3} vs 2",ohip_meaningful_improvement,Anchor-alapu szamottevo OHIP-5 javulas,1000,496,0.496,448,0.448,219,229,277,275,0.9494269544243532,0.7399253189925716,1.218246650911742,0.9866347884989042,0.7551434044795291,1.2890905225441405,0.9214348366796603,age_per_10y + gender + denture_type + baseline_outcome,0.9750797117954364,0.9971355368331474,0
