"valtozo","teljes_n","teljes_median","teljes_Q1","teljes_Q3","teljes_atlag","tobbi_n","tobbi_median","tobbi_Q1","tobbi_Q3","tobbi_atlag"
"Életkor a kiinduláskor (év)",6,79.6112,74.9322,86.7399,79.911,39,76.4654,64.8611,80.7858,71.7158
"OHIP-5 kiindulás (↓ jobb)",6,4.5,1.75,5.75,3.6667,39,6,2,8,5.9487
"GOHAI kiindulás (↑ jobb)",6,45,42.25,50,46.6667,39,49,39,56.5,46.2821
"MAI kiindulás, régi fogsorral (↓ jobb)",6,71.0488,66.5401,77.977,68.3026,33,68.649,55.0023,77.0548,64.1623
"Önbevallott rágás kiindulás (1–5)",6,1.5,1,2,1.6667,39,2,1,3.5,2.3846
"A1 Kaán-gerincforma (0–1, ↑ kedvezőtlen)",6,0.525,0.0875,0.7,0.4583,32,0.35,0,0.7,0.4266
"A6–A9 tuberculum (0–1, ↑ kedvezőtlen)",6,0.5625,0.4219,0.7031,0.5729,32,0.375,0.25,0.625,0.4004
"A11 szájfenék (0–1, ↑ kedvezőtlen)",6,0.25,0,0.5,0.3333,32,0.5,0,0.5,0.3438
"A4 torus mandibularis (0–1)",6,0,0,0.375,0.1667,31,0,0,0,0.129
"F5 lötyögő gerinc (0/1)",6,0,0,0.75,0.3333,30,0,0,0,0.1667
"F7 torus palatinus (0/1)",6,0,0,0.75,0.3333,30,0,0,1,0.3
"A12 spinae mentales (0/1)",6,0.5,0,1,0.5,32,0,0,1,0.4062
