"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","n","x_szintek","rho","loo_min","loo_max","r_normal_score","egyezes"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,4,0.0883,-0.3591,0.6669,0.1127,"semleges (|ρ| ≤ 0,1)"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,4,0.1765,-0.2052,0.8208,0.1727,"egyezik az elődökkel"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,4,-0.6179,-0.9487,-0.3591,-0.5647,"ellentmond az elődöknek"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,4,0.1343,-0.2895,0.7632,0.1095,"egyezik az elődökkel"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,4,-0.0953,-0.5735,0.4443,-0.119,"semleges (|ρ| ≤ 0,1)"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,4,0.7165,0.6053,0.8208,0.6747,"egyezik az elődökkel"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,4,-0.1044,-0.5441,0.1814,-0.0933,"ellentmond az elődöknek"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,4,-0.7062,-0.7906,-0.5643,-0.6357,"ellentmond az elődöknek"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",6,4,-0.2727,-0.5556,0.0263,-0.2748,"ellentmond az elődöknek"
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",6,6,-0.6571,-0.7,-0.6,-0.5663,"nincs tankönyvi irány"
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",6,6,-0.3714,-0.6,-0.1,-0.3186,"nincs tankönyvi irány"
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",6,6,-0.4857,-0.6,-0.2,-0.4486,"nincs tankönyvi irány"
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",6,6,0,-0.4617,0.2052,0.0126,"nincs tankönyvi irány"
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",6,6,-0.3703,-0.6325,-0.2236,-0.2966,"nincs tankönyvi irány"
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",6,6,0.058,-0.4104,0.4617,0.0343,"nincs tankönyvi irány"
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",6,6,0.2704,0,0.6708,0.2566,"nincs tankönyvi irány"
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",6,6,-0.5429,-0.8,-0.3,-0.4719,"nincs tankönyvi irány"
