"tetel","cimke","n_szakerto","prior_P_varhato_irany","prior_median","prior_q05","prior_q95","hatasnagysag_forras"
"F1","F1 · felső gerincmagasság (mm)",1,0.98,0.312,0.019,0.837,"helyőrző HN(0; 0,5)"
"F3","F3 · szájpadboltozat-magasság (mm)",1,0.9,0.28,-0.32,0.826,"helyőrző HN(0; 0,5)"
"F4","F4 · felső gerincalak szöge (°)",1,0.9,0.28,-0.32,0.826,"helyőrző HN(0; 0,5)"
"F6","F6 · interalveoláris szög eltérése 90°-tól",1,0.98,0.312,0.019,0.837,"helyőrző HN(0; 0,5)"
"F5","F5 · lötyögő, csontmag nélküli gerinc",1,0.8,0.233,-0.536,0.81,"helyőrző HN(0; 0,5)"
"F7","F7 · torus palatinus",1,0.98,0.312,0.019,0.837,"helyőrző HN(0; 0,5)"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)",1,0.98,0.312,0.019,0.837,"helyőrző HN(0; 0,5)"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)",1,0.98,0.312,0.019,0.837,"helyőrző HN(0; 0,5)"
"A4","A4 · torus mandibularis",1,0.98,0.312,0.019,0.837,"helyőrző HN(0; 0,5)"
"A5","A5 · lingualis tasak (izomerő iránya)",1,0.98,0.312,0.019,0.837,"helyőrző HN(0; 0,5)"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)",1,0.98,0.312,0.019,0.837,"helyőrző HN(0; 0,5)"
"A11","A11 · szublingvális tájék / szájfenék",1,0.98,0.312,0.019,0.837,"helyőrző HN(0; 0,5)"
"A12","A12 · spinae mentales",1,0.98,0.312,0.019,0.837,"helyőrző HN(0; 0,5)"
"F2","F2 · felső alámenősség térfogata (mm³)",1,0.5,0.001,-0.736,0.736,"helyőrző HN(0; 0,5)"
"F2s","F2/L³ · méretstandardizált alámenősség",0,0.5,0.001,-0.736,0.736,"regiszter (tankönyvi p) + HN(0; 0,5)"
"F8","F8 · antagonista fogazat (1→3)",1,0.5,0.001,-0.736,0.736,"helyőrző HN(0; 0,5)"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)",1,0.5,0.001,-0.736,0.736,"helyőrző HN(0; 0,5)"
"A10","A10 · állcsontreláció szöge (°)",1,0.5,0.001,-0.736,0.736,"helyőrző HN(0; 0,5)"
