"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.0883,6,0.1127,0.5643,0.056,-0.532,0.624,0.98,0.9845,0.25,0.018,0.71,0.0045
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.1765,6,0.1727,0.5986,0.087,-0.506,0.648,0.98,0.9865,0.263,0.02,0.723,0.0065
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.6179,6,-0.5647,0.1828,-0.317,-0.804,0.295,0.98,0.9165,0.147,-0.326,0.588,-0.0635
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.1343,6,0.1095,0.5624,0.055,-0.533,0.623,0.98,0.9844,0.249,0.018,0.71,0.0044
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",-0.0953,6,-0.119,0.431,-0.059,-0.626,0.529,0.98,0.9738,0.209,0.01,0.665,-0.0062
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.7165,6,0.6747,0.8733,0.404,-0.207,0.851,0.98,0.9971,0.453,0.07,0.864,0.0171
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.1044,6,-0.0933,0.4457,-0.047,-0.616,0.54,0.98,0.9753,0.213,0.011,0.67,-0.0047
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.7062,6,-0.6357,0.1459,-0.371,-0.834,0.241,0.98,0.8934,0.136,-0.451,0.575,-0.0866
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.2727,6,-0.2748,0.3422,-0.14,-0.688,0.459,0.98,0.9623,0.186,0.005,0.637,-0.0177
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",-0.6571,6,-0.5663,0.182,-0.318,-0.805,0.294,0.5,0.1821,-0.318,-0.805,0.294,-0.3179
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",-0.3714,6,-0.3186,0.3175,-0.164,-0.705,0.438,0.5,0.3178,-0.164,-0.705,0.438,-0.1822
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.4857,6,-0.4486,0.2453,-0.24,-0.756,0.369,0.5,0.2456,-0.24,-0.757,0.369,-0.2544
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0,6,0.0126,0.5066,0.006,-0.574,0.584,0.5,0.5072,0.007,-0.574,0.584,0.0072
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",-0.3703,6,-0.2966,0.3299,-0.152,-0.696,0.449,0.5,0.3302,-0.152,-0.696,0.449,-0.1698
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.058,6,0.0343,0.5192,0.017,-0.565,0.593,0.5,0.5198,0.018,-0.565,0.593,0.0198
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",0.2704,6,0.2566,0.6464,0.13,-0.468,0.68,0.5,0.6471,0.131,-0.468,0.681,0.1471
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.5429,6,-0.4719,0.2326,-0.254,-0.766,0.355,0.5,0.2328,-0.255,-0.766,0.355,-0.2672
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",0.6768,6,0.6636,0.8677,0.395,-0.217,0.846,0.5,0.8682,0.395,-0.217,0.846,0.3682
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.0617,6,0.0978,0.5557,0.049,-0.538,0.618,0.98,0.984,0.247,0.017,0.707,0.004
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.216,6,0.2088,0.6192,0.105,-0.49,0.662,0.98,0.9876,0.271,0.022,0.732,0.0076
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.4938,6,-0.4393,0.2504,-0.234,-0.753,0.374,0.98,0.9425,0.164,-0.101,0.61,-0.0375
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.2035,6,0.1658,0.5947,0.083,-0.509,0.645,0.98,0.9863,0.261,0.02,0.722,0.0063
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",-0.1167,6,-0.1219,0.4294,-0.061,-0.627,0.528,0.98,0.9736,0.208,0.01,0.664,-0.0064
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.7671,6,0.7024,0.8871,0.43,-0.181,0.863,0.98,0.9974,0.472,0.078,0.874,0.0174
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.0183,6,-0.0214,0.4871,-0.011,-0.587,0.57,0.98,0.979,0.225,0.013,0.683,-0.001
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.7407,6,-0.646,0.1407,-0.38,-0.838,0.233,0.98,0.8892,0.134,-0.469,0.573,-0.0908
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.0636,6,-0.0589,0.4655,-0.029,-0.602,0.555,0.98,0.9772,0.218,0.012,0.676,-0.0028
