"pred","pred_rovid","csoport","out","out_rovid","r_ns","n","P_expert_prior","P_semleges_prior","n_atbillenes_expert","n_95pct_semleges"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,6,0.9845,0.5643,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,8,0.9857,0.584,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,10,0.9867,0.6013,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,12,0.9875,0.6166,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,15,0.9885,0.6369,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,20,0.9899,0.6654,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,25,0.9909,0.6892,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,30,0.9918,0.7098,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,40,0.9931,0.7441,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,50,0.9941,0.7721,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,60,0.9948,0.7956,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,80,0.996,0.8332,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,100,0.9968,0.8621,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,150,0.9981,0.9114,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,200,0.9988,0.9414,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,300,0.9995,0.9732,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,500,0.9999,0.9938,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,6,0.9865,0.5986,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,8,0.9881,0.6283,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,10,0.9894,0.654,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,12,0.9904,0.6764,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,15,0.9916,0.7055,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,20,0.9931,0.745,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,25,0.9942,0.7767,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,30,0.9951,0.803,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,40,0.9963,0.8441,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,50,0.9971,0.8748,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,60,0.9977,0.8985,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,80,0.9985,0.9319,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,100,0.999,0.9535,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,150,0.9996,0.9812,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,200,0.9998,0.9921,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,300,1,0.9985,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,500,1,0.9999,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,6,0.9165,0.1828,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,8,0.8672,0.1175,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,10,0.7998,0.0754,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,12,0.7138,0.0484,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,15,0.5581,0.0251,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,20,0.2977,0.0086,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,25,0.128,0.003,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,30,0.0492,0.0011,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,40,0.0066,1e-4,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,50,9e-4,0,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,60,1e-4,0,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,80,0,0,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,100,0,0,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,150,0,0,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,200,0,0,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,300,0,0,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,500,0,0,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,6,0.9844,0.5624,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,8,0.9856,0.5816,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,10,0.9865,0.5984,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,12,0.9873,0.6134,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,15,0.9884,0.6331,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,20,0.9897,0.6609,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,25,0.9907,0.6841,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,30,0.9916,0.7043,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,40,0.9929,0.738,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,50,0.9938,0.7655,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,60,0.9946,0.7887,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,80,0.9958,0.8261,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,100,0.9966,0.8551,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,150,0.9979,0.905,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,200,0.9986,0.9359,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,300,0.9994,0.9695,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,500,0.9999,0.9924,,300
