"pred","pred_rovid","csoport","out","out_rovid","r_ns","n_atbillenes_expert","n_95pct_semleges","P_expert_n6","P_expert_n30","P_expert_n100","adat_iranya","jelentes"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,,300,0.9845,0.9918,0.9968,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,,100,0.9865,0.9951,0.999,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,20,12,0.9165,0.0492,0,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,,300,0.9844,0.9916,0.9966,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,300,200,0.9738,0.9497,0.873,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,,300,0.984,0.9907,0.9958,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,,80,0.9876,0.9964,0.9996,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,30,20,0.9425,0.3536,2e-4,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,,150,0.9863,0.9948,0.9989,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,300,200,0.9736,0.9486,0.867,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,,500,0.9833,0.9891,0.9942,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,,50,0.9888,0.9976,0.9999,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,80,50,0.9644,0.8513,0.2485,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,,150,0.9863,0.9948,0.9989,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A12","A12 spinae mentales","Alsó állcsont","s_RAGAS","Önbev. rágás",0.2441,,60,0.9887,0.9975,0.9998,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A2","A2 gerincmagasság ↓","Alsó állcsont","s_GOHAI","GOHAI",0.3206,,40,0.9906,0.9989,1,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
