"tetel","cimke","n_szakerto","prior_P_varhato_irany","prior_median","prior_q05","prior_q95","hatasnagysag_forras"
"F1","F1 · felső gerincmagasság (mm)",30,0.8323,0.272,-0.432,0.551,"elicitált hatásnagyság; helyőrző HN(0; 0,5)"
"F3","F3 · szájpadboltozat-magasság (mm)",30,0.7817,0.191,-0.378,0.463,"elicitált hatásnagyság; helyőrző HN(0; 0,5)"
"F4","F4 · felső gerincalak szöge (°)",30,0.6413,0.108,-0.471,0.487,"helyőrző HN(0; 0,5); elicitált hatásnagyság"
"F6","F6 · interalveoláris szög eltérése 90°-tól",30,0.6933,0.112,-0.502,0.528,"helyőrző HN(0; 0,5); elicitált hatásnagyság"
"F5","F5 · lötyögő, csontmag nélküli gerinc",30,0.882,0.356,-0.417,0.74,"elicitált hatásnagyság; helyőrző HN(0; 0,5)"
"F7","F7 · torus palatinus",30,0.5233,0.025,-0.509,0.509,"helyőrző HN(0; 0,5); elicitált hatásnagyság"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)",30,0.926,0.388,-0.334,0.711,"elicitált hatásnagyság; helyőrző HN(0; 0,5)"
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)",30,0.926,0.388,-0.334,0.711,"elicitált hatásnagyság; helyőrző HN(0; 0,5)"
"A4","A4 · torus mandibularis",30,0.6847,0.111,-0.417,0.493,"helyőrző HN(0; 0,5); elicitált hatásnagyság"
"A5","A5 · lingualis tasak (izomerő iránya)",30,0.694,0.145,-0.541,0.61,"elicitált hatásnagyság; helyőrző HN(0; 0,5)"
"TUB","A6–A9 · tuberculum-konstruktum (0–1)",30,0.8043,0.211,-0.405,0.668,"elicitált hatásnagyság; helyőrző HN(0; 0,5)"
"A11","A11 · szublingvális tájék / szájfenék",30,0.853,0.378,-0.476,0.702,"elicitált hatásnagyság; helyőrző HN(0; 0,5)"
"A12","A12 · spinae mentales",30,0.69,0.119,-0.462,0.478,"elicitált hatásnagyság; helyőrző HN(0; 0,5)"
"F2","F2 · felső alámenősség térfogata (mm³)",30,0.585,0.083,-0.635,0.636,"helyőrző HN(0; 0,5); elicitált hatásnagyság"
"F2s","F2/L³ · méretstandardizált alámenősség",0,0.5,0.001,-0.736,0.736,"regiszter (tankönyvi p) + HN(0; 0,5)"
"F8","F8 · antagonista fogazat (1→3)",30,0.5267,0.026,-0.657,0.657,"elicitált hatásnagyság; helyőrző HN(0; 0,5)"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)",30,0.4867,-0.011,-0.557,0.558,"helyőrző HN(0; 0,5); elicitált hatásnagyság"
"A10","A10 · állcsontreláció szöge (°)",30,0.5817,0.058,-0.647,0.648,"helyőrző HN(0; 0,5); elicitált hatásnagyság"
