"tetel","cimke","csoport","p_tankonyv","n_szakerto","B_arany","A_arany","optimum_arany","nincs_arany","nem_tudom_arany","p_irany_atlag","kulonbseg_atlag","pool_P_varhato_irany","pool_median","pool_q05","pool_q95","egyet_nem_ertes_sd_P","egyeni_median_sd"
"F1","F1 gerincmagasság ↓","Felső állcsont",0.98,30,0.8667,0.0333,0,0.0667,0.0333,89.8889,21.4074,0.8323,0.272,-0.432,0.551,0.1945,0.1766
"F3","F3 boltozat ↓","Felső állcsont",0.9,30,0.8333,0,0,0.1333,0.0333,83.8,15.6,0.7817,0.191,-0.378,0.463,0.1528,0.102
"F4","F4 gerincalak-szög ↓","Felső állcsont",0.9,30,0.7,0.0333,0,0.1333,0.1333,71.0909,13.4091,0.6413,0.108,-0.471,0.487,0.1735,0.1114
"F6","F6 |szög−90°| ↑","Felső állcsont",0.98,30,0.6333,0.0333,0.1333,0.1333,0.0667,81,11.55,0.6933,0.112,-0.502,0.528,0.192,0.1101
"F5","F5 lötyögő gerinc","Felső állcsont",0.8,30,0.8667,0,0,0.1,0.0333,94.0769,27.7308,0.882,0.356,-0.417,0.74,0.1604,0.2027
"F7","F7 torus palatinus","Felső állcsont",0.98,30,0.4,0.2667,0,0.3,0.0333,69.5,11.85,0.5233,0.025,-0.509,0.509,0.1906,0.1295
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont",0.98,30,0.9667,0,0,0,0.0333,94.069,28.3103,0.926,0.388,-0.334,0.711,0.0995,0.1648
"A2","A2 gerincmagasság ↓","Alsó állcsont",0.98,30,0.9667,0,0,0,0.0333,94.069,28.3103,0.926,0.388,-0.334,0.711,0.0995,0.1648
"A4","A4 torus mandibularis","Alsó állcsont",0.98,30,0.7,0.1,0,0.1333,0.0667,78.9167,12.75,0.6847,0.111,-0.417,0.493,0.2177,0.1368
"A5","A5 lingualis tasak ↑","Alsó állcsont",0.98,30,0.6,0.0333,0,0.2333,0.1333,81.6842,16.5263,0.694,0.145,-0.541,0.61,0.1933,0.1522
"TUB","A6–A9 tuberculum ↑","Alsó állcsont",0.98,30,0.8333,0.0667,0,0.0667,0.0333,89.3704,19.5185,0.8043,0.211,-0.405,0.668,0.2281,0.2198
"A11","A11 szájfenék ↑","Alsó állcsont",0.98,30,0.9,0,0,0.0667,0.0333,89.2222,28.3704,0.853,0.378,-0.476,0.702,0.1497,0.2013
"A12","A12 spinae mentales","Alsó állcsont",0.98,30,0.7,0.0333,0,0.1667,0.1,79.5455,12.7273,0.69,0.119,-0.462,0.478,0.198,0.1164
"F2","F2 alámenősség (nyers)","Nincs tankönyvi irány",0.5,30,0.3333,0.0667,0.5333,0.0667,0,81.25,12.6667,0.585,0.083,-0.635,0.636,0.1957,0.1015
"F2s","F2/L³ (nyers)","Nincs tankönyvi irány",0.5,0,,,,,,,,0.5,0.001,-0.736,0.736,,
"F8","F8 antagonista (nyers)","Nincs tankönyvi irány",0.5,30,0.2333,0.1,0,0.3,0.3667,74,7.1,0.5267,0.026,-0.657,0.657,0.1484,0.0522
"A3","A3 buccinator (nyers)","Nincs tankönyvi irány",0.5,30,0.2667,0.3,0,0.3333,0.1,71.1765,7.8824,0.4867,-0.011,-0.557,0.558,0.1925,0.0835
"A10","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",0.5,30,0.3667,0,0.0333,0.3333,0.2667,72.2727,8.9091,0.5817,0.058,-0.647,0.648,0.1316,0.0702
