"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.0883,6,0.1127,0.5643,0.056,-0.532,0.624,0.926,0.9476,0.353,-0.049,0.667,0.0216
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.1765,6,0.1727,0.5986,0.087,-0.506,0.648,0.926,0.9559,0.362,0.022,0.672,0.0299
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.6179,6,-0.5647,0.1828,-0.317,-0.804,0.295,0.926,0.6592,0.182,-0.658,0.585,-0.2668
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.1343,6,0.1095,0.5624,0.055,-0.533,0.623,0.926,0.9471,0.353,-0.058,0.667,0.0211
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",-0.0953,6,-0.119,0.431,-0.059,-0.626,0.529,0.926,0.9002,0.317,-0.379,0.645,-0.0258
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.7165,6,0.6747,0.8733,0.404,-0.207,0.851,0.926,0.9926,0.465,0.168,0.734,0.0666
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.1044,6,-0.0933,0.4457,-0.047,-0.616,0.54,0.926,0.907,0.321,-0.357,0.648,-0.019
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.7062,6,-0.6357,0.1459,-0.371,-0.834,0.241,0.926,0.5843,0.124,-0.688,0.567,-0.3417
"A1","A1 · Kaán-féle gerincforma (telítődő 0–1)","A1 Kaán-gerincforma ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.2727,6,-0.2748,0.3422,-0.14,-0.688,0.459,0.926,0.8473,0.287,-0.493,0.629,-0.0787
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",-0.6571,6,-0.5663,0.182,-0.318,-0.805,0.294,0.5817,0.2875,-0.197,-0.758,0.281,-0.2942
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",-0.3714,6,-0.3186,0.3175,-0.164,-0.705,0.438,0.5817,0.433,-0.058,-0.629,0.376,-0.1487
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.4857,6,-0.4486,0.2453,-0.24,-0.756,0.369,0.5817,0.3594,-0.123,-0.695,0.328,-0.2223
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0,6,0.0126,0.5066,0.006,-0.574,0.584,0.5817,0.5992,0.056,-0.475,0.493,0.0175
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",-0.3703,6,-0.2966,0.3299,-0.152,-0.696,0.449,0.5817,0.445,-0.048,-0.619,0.383,-0.1367
"A10","A10 · állcsontreláció szöge (°)","A10 állcsontreláció (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.058,6,0.0343,0.5192,0.017,-0.565,0.593,0.5817,0.6092,0.061,-0.465,0.501,0.0276
