"pred","pred_rovid","csoport","out","out_rovid","r_ns","n","P_expert_prior","P_semleges_prior","n_atbillenes_expert","n_95pct_semleges"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,6,0.9476,0.5643,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,8,0.9534,0.584,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,10,0.9581,0.6013,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,12,0.9619,0.6166,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,15,0.9664,0.6369,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,20,0.9718,0.6654,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,25,0.9756,0.6892,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,30,0.9784,0.7098,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,40,0.9822,0.7441,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,50,0.9849,0.7721,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,60,0.9868,0.7956,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,80,0.9897,0.8332,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,100,0.9917,0.8621,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,150,0.9949,0.9114,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,200,0.9967,0.9414,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,300,0.9986,0.9732,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,500,0.9997,0.9938,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,6,0.9559,0.5986,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,8,0.9631,0.6283,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,10,0.9686,0.654,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,12,0.9729,0.6764,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,15,0.9778,0.7055,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,20,0.9832,0.745,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,25,0.9867,0.7767,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,30,0.9891,0.803,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,40,0.9923,0.8441,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,50,0.9942,0.8748,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,60,0.9955,0.8985,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,80,0.9972,0.9319,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,100,0.9982,0.9535,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,150,0.9993,0.9812,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,200,0.9997,0.9921,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,300,0.9999,0.9985,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,500,1,0.9999,,100
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,6,0.6592,0.1828,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,8,0.494,0.1175,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,10,0.3375,0.0754,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,12,0.215,0.0484,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,15,0.1018,0.0251,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,20,0.0281,0.0086,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,25,0.0081,0.003,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,30,0.0024,0.0011,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,40,3e-4,1e-4,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,50,0,0,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,60,0,0,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,80,0,0,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,100,0,0,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,150,0,0,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,200,0,0,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,300,0,0,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,500,0,0,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,6,0.9471,0.5624,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,8,0.9528,0.5816,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,10,0.9574,0.5984,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,12,0.9612,0.6134,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,15,0.9657,0.6331,,300
