"pred","pred_rovid","csoport","out","out_rovid","r_ns","n_atbillenes_expert","n_95pct_semleges","P_expert_n6","P_expert_n30","P_expert_n100","adat_iranya","jelentes"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_GOHAI","GOHAI",0.1127,,300,0.9476,0.9784,0.9917,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_INDEX","Siker-index",0.1727,,100,0.9559,0.9891,0.9982,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,8,12,0.6592,0.0024,0,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,,300,0.9471,0.9776,0.9911,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,100,200,0.9002,0.7648,0.4449,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,,300,0.8786,0.9256,0.9674,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,,80,0.9086,0.9763,0.9977,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,8,20,0.6029,0.0216,0,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,,150,0.8977,0.9622,0.9929,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,50,200,0.7972,0.5803,0.2505,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,,500,0.733,0.8287,0.9139,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,,50,0.793,0.954,0.9979,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,12,50,0.5902,0.2321,0.0126,"ellentmond az elődöknek","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,,150,0.7649,0.9088,0.9839,"egyezik az elődökkel","n_atbillenes_expert: csak ellentmondó jelnél – n, ahol az elődök priorjával a posterior 50% alá esik; n_95pct_semleges: n, ahol a semleges prioros posterior a MEGFIGYELT irányban eléri a 95%-ot"
