predictor,outcome,outcome_scale,adjusted,n,status,likelihood_estimate,likelihood_se,likelihood_lo,likelihood_hi,neutral_post_mean,neutral_post_sd,neutral_post_lo,neutral_post_hi,neutral_post_p_expected_direction,neutral_post_p_rope_abs_lt_0_1,n_nonmissing,n_unique,certainty,elicited_q,note
F1_low_ridge,MAI_worse,raw_z,False,8,ok,-0.599835351862783,0.37575709419797854,-1.336319256490821,0.1366485527652549,-0.38333683627333454,0.3003872098542877,-0.9720849490042138,0.2054112764575446,0.10095260378982268,0.11897627301085745,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,MAI_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,MAI_worse_rank,rank_normal,False,8,ok,-0.6073447610586449,0.23921771834894456,-1.0762114890225762,-0.13847803309471352,-0.49421802442443497,0.21579182558109603,-0.9171622307215324,-0.07127381812733763,0.011003307393038463,0.030914987831150764,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,MAI_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,OHIP_worse,raw_z,False,9,ok,-0.7375122444799475,0.35801276837967727,-1.4392172705041149,-0.035807218455780054,-0.4875493272406075,0.29108724724626,-1.0580698482021833,0.08297119372096817,0.04697446729498654,0.0697596617981543,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,OHIP_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,OHIP_worse_rank,rank_normal,False,9,ok,-0.6674540473642955,0.3753240428516359,-1.4030891713535019,0.06818107662491091,-0.4269048714509092,0.3001658325407017,-1.0152190926201656,0.16140934971834714,0.07747973679891734,0.0984618783759631,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,OHIP_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,GOHAI_worse,raw_z,False,9,ok,-0.5566044298608079,0.44870894598901245,-1.4360739639992723,0.32286510427765647,-0.30830680715824277,0.33395115961456534,-0.962839052598178,0.3462254382816923,0.17794907876677118,0.15566104282988102,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,GOHAI_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,GOHAI_worse_rank,rank_normal,False,9,ok,-0.5371173269016962,0.45699353150556643,-1.4328246486526064,0.35858999484921394,-0.2926476071768868,0.33732455831621544,-0.9537915925775504,0.3684963782237766,0.19281899514121986,0.16175345822263465,9,8,strong,0.98,per 1 SD lower ridge
F1_low_ridge,GOHAI_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,8,strong,0.98,per 1 SD lower ridge
F3_low_palate,MAI_worse,raw_z,False,8,ok,0.18974831712605827,0.2249660914132211,-0.25118522204385507,0.6306818562959716,0.15780286733496382,0.2051566229499562,-0.24429672483681394,0.5599024595067414,0.7791074868438979,0.2846210670925185,9,9,strong,0.98,per 1 SD lower vault
F3_low_palate,MAI_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD lower vault
F3_low_palate,MAI_worse_rank,rank_normal,False,8,ok,0.11224902708388611,0.3397661781207649,-0.5536926820328131,0.7781907362005852,0.07679010424797351,0.28102275100454427,-0.4740043665573007,0.6275845750532476,0.6076703481894619,0.2682682251216522,9,9,strong,0.98,per 1 SD lower vault
F3_low_palate,MAI_worse_rank,rank_normal,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD lower vault
F3_low_palate,OHIP_worse,raw_z,False,9,ok,0.7360139017516198,0.4816003901987036,-0.20792286303783913,1.6799506665410788,0.38179831873797176,0.346865277296032,-0.29804513224975004,1.0616417697256932,0.8644887039198258,0.1258616639913278,9,9,strong,0.98,per 1 SD lower vault
F3_low_palate,OHIP_worse,raw_z,True,8,insufficient_data,,,,,,,,,,,9,9,strong,0.98,per 1 SD lower vault
