"item","label","n_kedvezo","n_kedvezotlen","med_kedvezo","med_kedvezotlen","VD_A","p_exact_1old","p_exact_2old","p_asymp_1old","p_holm"
"A5","A5 lingualis tasak",5,30,48.0030954787828,70.1455662458672,0.633333333333334,0.183383030631607,0.365989797678602,0.178968503630611,1
"A3","A3 buccinator tasak",5,30,67.9307875875404,72.194049730429,0.613333333333333,0.222763005495453,0.444817516449395,0.21832225771217,1
"A1_Kaan","A1 Kaán-gerincforma",19,16,67.6069946050787,71.7556814431109,0.546052631578947,0.326319721432564,0.652695851980366,0.327415516290991,1
"F5","F5 lötyögő gerinc",26,8,68.471223654625,71.7556814431109,0.519230769230769,0.441551383758411,0.883267890138269,0.443496363522303,1
"A11","A11 szublingvális tájék",12,23,71.0488190028434,69.707197958549,0.492753623188406,0.530866106346705,0.952599719959859,0.534619369540137,1
"A8","A8 inklinációs szög",9,26,70.5839345331853,69.0003355182816,0.47008547008547,0.606520203389274,0.803844452130129,0.61144572517235,1
"A4","A4 torus mandibularis",26,8,72.194049730429,66.7812955015734,0.442307692307692,0.688288532118278,0.641492241439895,0.694111130391897,1
"A7","A7 tuberculum alakja",17,18,74.4493060082962,67.7688910963096,0.415032679738562,0.804421809997697,0.399965823760225,0.809129129898577,1
"A9","A9 tuberculum mozgékonysága",10,25,73.3809991508681,68.2934730780141,0.4,0.818914345921477,0.372910558001836,0.824123275635424,1
"A6","A6 feszes íny hiánya",9,26,79.6085679173765,68.1121303327772,0.337606837606838,0.924481081744054,0.157451832993284,0.926914583228228,1
"A12","A12 spinae mentales",21,14,74.2751870085919,64.1574507497963,0.350340136054422,0.93128555784209,0.142339958190648,0.932998028695713,1
"A13","A13 TMI funkció",27,7,74.2751870085919,55.0022725276514,0.264550264550265,0.972780027422031,0.0588807825688673,0.972366810727208,1
"F7","F7 torus palatinus",24,10,71.9262165730649,61.4665300575959,0.241666666666667,0.991742245409719,0.0178742106766709,0.990922911611615,1
